Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-dntq,branch-m3cj,branch-gv2f,branch-jlla,branch-r87h,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Response1,Spreadsheet: Response2,Spreadsheet: Response3,Spreadsheet: Response4,Spreadsheet: Answer,Spreadsheet: Exercise_stimuli,Spreadsheet: CA_iteration1_stimuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreadsheet:,Manipulation: Spreadsheet,Store: Result,Store: Response time
21,1717038559643,30/05/2024 03:09:19,1717020559643,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,477.1,474.5,477.1,477.1,474.5,477.1,1,477.1,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
22,1717038559644,30/05/2024 03:09:19,1717020559644,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,478.1,474.5,478.1,478.1,474.5,478.1,1,478.1,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
23,1717038559645,30/05/2024 03:09:19,1717020559645,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,478.7,474.5,478.7,478.7,474.5,478.7,1,478.7,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
24,1717038559645,30/05/2024 03:09:19,1717020559645,-5,29/05/2024 17:09:19,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,info,audio finished,479.3,474.5,479.3,479.3,474.5,479.3,1,479.3,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beer.png,995
25,1717038561741,30/05/2024 03:09:21,1717020561741,-5,29/05/2024 17:09:21,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,2,Exercise,Exercise,4woawc,2,response,tear.png,2573.5,2567.3,2573.5,2573.5,2567.3,2573.5,1,2573.5,0,0,,Click Response,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,tear,pier.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
26,1717038563723,30/05/2024 03:09:23,1717020563723,-5,29/05/2024 17:09:23,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Fixation,49xu5x,1,continue,,1989.1,1989.1,1989.1,1989.1,1989.1,1989.1,1,1989.1,0,0,,Fixation Timing,Fixation,1,object-133,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
27,1717038563729,30/05/2024 03:09:23,1717020563729,-5,29/05/2024 17:09:23,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,6.000000003,0,6.000000003,6.000000003,0,6.000000003,1,6.000000003,0,0,,Audio Clip,beer,1,object-135,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
28,1717038563729,30/05/2024 03:09:23,1717020563729,-5,29/05/2024 17:09:23,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,6.199999991,0,6.199999991,6.199999991,0,6.199999991,1,6.199999991,0,0,,Audio Clip,pier,2,object-138,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
29,1717038563729,30/05/2024 03:09:23,1717020563729,-5,29/05/2024 17:09:23,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,6.3,0,6.3,6.3,0,6.3,1,6.3,0,0,,Audio Clip,deer,3,object-137,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
30,1717038563729,30/05/2024 03:09:23,1717020563729,-5,29/05/2024 17:09:23,178210,44,task-ap5c,,37940524,BLIND,11169645,,complete,,6657ed6ba6f8fd9a00ebd7bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1728x1117,1397x878,,,0,DBSL,74,,participant proceeds,participant proceeds,participant proceeds,participant proceeds,experimental blocks,experimental blocks,3,Exercise,Exercise,4woawc,2,info,audio started,6.399999994,0,6.399999994,6.399999994,0,6.399999994,1,6.399999994,0,0,,Audio Clip,tear,4,object-136,Exercise,beer.png,pier.png,deer.png,tear.png,deer,deer.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tear.png,2573
